"Id","NA_L3CODE","X","Y"
"489","10.1.2",-120.036158102671,46.6756616703398
"490","10.1.2",-116.123529459228,45.9168969129918
"491","10.1.2",-117.88206519,46.599925060545
"492","10.1.2",-119.924078910252,46.5798738600064
"493","10.1.2",-117.553189217248,46.4970924201513
"494","10.1.2",-120.089613454768,48.2483621157897
"495","10.1.2",-119.320438874781,47.0713788457523
"496","10.1.2",-118.653286387699,45.653964670451
"497","10.1.2",-117.356362667321,47.1437634211198
"498","10.1.2",-119.10423333059,47.0521182846309
"499","10.1.2",-118.96616292527,47.2221305214059
"500","10.1.2",-120.430742366985,45.1099272631258
"501","10.1.3",-117.727855638463,42.1003277841072
"502","10.1.3",-116.335995892176,41.2869523516785
"503","10.1.3",-117.140368632871,43.0397707051082
"504","10.1.3",-118.298594105444,43.7878579497973
"505","10.1.3",-117.708537068092,43.1509660530628
"506","10.1.3",-112.195032646756,42.1374471873216
"507","10.1.3",-115.367642424572,41.5540048617079
"508","10.1.3",-117.286421185395,42.183395787494
"509","10.1.3",-118.362995141643,42.8753798271642
"510","10.1.3",-118.548177536614,43.0345853268158
"511","10.1.3",-115.960851890996,41.3383504296154
"512","10.1.3",-118.14025619514,43.5308607427092
"513","10.1.3",-119.311840361955,42.6705203798543
"514","10.1.3",-120.676458817672,43.3765142371785
"515","10.1.3",-117.072096719903,41.9040122403402
"516","10.1.3",-111.806505747532,43.0017725877337
"517","10.1.3",-118.986787676206,42.7362510992622
"518","10.1.3",-119.966100814584,43.8332491904625
"519","10.1.3",-112.100761564707,42.4194584000754
"520","10.1.3",-118.313627901294,42.8209876272376
"521","10.1.3",-117.849527361087,43.123591467151
"522","10.1.3",-120.264764068852,40.6476186669273
"523","10.1.3",-119.742757593652,41.5511198247115
"524","10.1.3",-119.518417358187,41.6535135089802
"525","10.1.3",-112.839134528742,42.5053542175929
"526","10.1.3",-116.729664384731,42.0952361117781
"527","10.1.3",-111.468925936985,42.5323935172015
"528","10.1.3",-119.170863179829,41.9802339026681
"529","10.1.3",-112.184410707189,42.6366806002492
"530","10.1.3",-117.341129055418,41.6123732377672
"531","10.1.3",-120.970788169195,43.420112709949
"532","10.1.3",-119.186923720573,43.4725428860547
"533","10.1.3",-116.889925238006,42.3473411995125
"534","10.1.3",-117.285838328088,42.6823331602125
"535","10.1.3",-115.437065047724,42.4588084858908
"536","10.1.3",-117.579081348898,42.9881617179023
"537","10.1.3",-120.452888605502,43.2787677102526
"538","10.1.3",-120.712085874446,42.8678261443894
"539","10.1.3",-119.698041868558,42.2757100386218
"540","10.1.3",-116.901204825999,43.3468311961638
"541","10.1.3",-117.743777928407,41.5689149915233
"542","10.1.3",-116.207585540936,41.7390073451454
"543","10.1.3",-115.959805533564,41.8708516255362
"544","10.1.3",-117.95826654211,43.4052050964882
"545","10.1.3",-117.082509179771,43.3301086825632
"546","10.1.3",-117.591973438132,43.3115912238997
"547","10.1.3",-119.81272924647,41.5300009314894
"548","10.1.3",-119.981055260257,41.6098036720799
"549","10.1.3",-114.2658698622,41.7707025161613
"550","10.1.3",-118.698128532735,43.1041827307189
"551","10.1.3",-117.510965441415,42.5116979688981
"552","10.1.3",-115.789011583665,41.9139208491263
"553","10.1.3",-116.570407503026,41.7278966762254
"554","10.1.3",-117.505886094031,42.8635548791831
"555","10.1.3",-119.245843294847,42.5499983530901
"556","10.1.3",-114.421569023289,42.1707022190234
"557","10.1.3",-118.254053158443,42.9183700646395
"558","10.1.3",-114.59995047506,41.912484528392
"559","10.1.3",-119.769036258781,42.0326541310249
"560","10.1.3",-116.779116616771,41.6552054471092
"561","10.1.3",-118.016622823948,42.4090402495736
"562","10.1.3",-112.19488553318,42.9194419096161
"563","10.1.3",-119.689336611118,41.9242404877871
"564","10.1.3",-117.517207851139,42.1726039000516
"565","10.1.3",-118.138841345332,43.674808016028
"566","10.1.3",-119.776662516045,42.5065542647977
"567","10.1.3",-120.791444734088,43.0404760496992
"568","10.1.3",-112.828648049073,42.0750087062429
"569","10.1.3",-117.791518669585,43.1403750489734
"570","10.1.3",-118.055185097456,43.0139652362115
